record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
175,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
216,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
472,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
728,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
984,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
1240,Untitled record,encoding_test,encoding_test,unknown,,,3.0,300.0,300,15,48.0,14448.0
47,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,,,2.83,283.0,283,15,45.28,12859.5
79,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,,,2.83,283.0,283,15,45.28,12859.5
111,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
151,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
192,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
448,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
704,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
960,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
1216,Untitled record,pdf,pdf,unknown,,,2.83,283.0,283,15,45.28,12859.5
118,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
158,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
199,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
455,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
711,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
967,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
1223,Untitled record,word_run,word_run,unknown,,,2.74,274.0,274,15,43.84,12056.0
3,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,the times of india,,,2.6,260.0,260,98,41.6,10857.6
4,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,news_api,news_api,financial post,,,2.6,260.0,260,96,41.6,10857.6
5,"Asian stocks rally as oil retreats, Fed in spotlight",news_api,news_api,cna,,,2.6,260.0,260,52,41.6,10857.6
6,Trump administration defends Anthropic blacklisting in US court,news_api,news_api,the times of india,,,2.6,260.0,260,63,41.6,10857.6
7,Economic Digest: Nepal’s Business News in a Snap,news_api,news_api,khabarhub.com,,,2.6,260.0,260,48,41.6,10857.6
10,Heroes of Science and Fiction-TENOKE,news_api,news_api,rlsbb.to,,,2.6,260.0,260,36,41.6,10857.6
11,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,news_api,news_api,thechronicle.com.gh,,,2.6,260.0,260,68,41.6,10857.6
