analysis_year,business,culture,politics,sports,technology,All
2026,858.6,1217.8,818.5566666666667,1141.5149999999999,1783.32,1031.562
All,858.6,1217.8,818.5566666666667,1141.5149999999999,1783.32,1031.5620000000001
