record_id,title,document_type,category,source_name,rating_score,language,content_length,published_year
55,Climate Policy Shift,excel,Politics,AP,3.0,unknown,20,2026.0
56,Café Culture Trends,excel,Culture,Le Monde,6.0,unknown,19,2026.0
57,München Startup Round,excel,Technology,DW,8.0,unknown,21,2026.0
58,Žurnal Election Pulse,excel,Politics,Žurnal,5.0,unknown,21,2026.0
59,Streaming Rights Watch,excel,Business,Financial Times,4.0,unknown,22,2026.0
60,Weekend Match Buzz,excel,Sports,ESPN,7.0,unknown,18,2026.0
61,Inflation Briefing,excel,Business,Al Jazeera,2.0,unknown,18,2026.0
62,Untitled record,excel_summary,excel_summary,unknown,0.15,unknown,15,
63,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,json,json,Paul Tan's Automotive News,2.6,unknown,260,
64,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",json,json,The Times of India,2.6,unknown,260,
65,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,json,json,GlobeNewswire,2.6,unknown,260,
66,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",json,json,Motley Fool Australia,1.81,unknown,181,
67,SWDC partners FTID to boost S’West rural devt,json,json,The Punch,2.26,unknown,226,
68,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",json,json,The Times of India,2.6,unknown,260,
69,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,json,json,Financial Post,2.6,unknown,260,
70,"Asian stocks rally as oil retreats, Fed in spotlight",json,json,CNA,2.6,unknown,260,
71,Trump administration defends Anthropic blacklisting in US court,json,json,The Times of India,2.6,unknown,260,
72,Economic Digest: Nepal’s Business News in a Snap,json,json,Khabarhub.com,2.6,unknown,260,
73,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",json,json,BusinessLine,1.25,unknown,125,
74,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",json,json,The Times of India,2.28,unknown,228,
75,Heroes of Science and Fiction-TENOKE,json,json,Rlsbb.to,2.6,unknown,260,
76,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,json,json,Thechronicle.com.gh,2.6,unknown,260,
77,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",json,json,Thechronicle.com.gh,2.6,unknown,260,
78,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,10.0,unknown,1019,
79,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,2.83,unknown,283,
80,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,10.0,unknown,2124,
81,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,3.6,unknown,360,
82,Untitled record,word,word,data/raw/word/news_normal.docx,10.0,unknown,1080,
83,Untitled record,word_two_column,word_two_column,data/raw/word/news_two_column.docx,10.0,unknown,1877,
84,Election Update,excel,Politics,BBC,4.0,unknown,15,2026.0
85,AI Market Growth,excel,Business,Reuters,7.0,unknown,16,2026.0
86,Sports Highlights,excel,Sports,CNN,5.0,unknown,17,2026.0
87,Climate Policy Shift,excel,Politics,AP,3.0,unknown,20,2026.0
88,Café Culture Trends,excel,Culture,Le Monde,6.0,unknown,19,2026.0
89,München Startup Round,excel,Technology,DW,8.0,unknown,21,2026.0
90,Žurnal Election Pulse,excel,Politics,Žurnal,5.0,unknown,21,2026.0
91,Streaming Rights Watch,excel,Business,Financial Times,4.0,unknown,22,2026.0
92,Weekend Match Buzz,excel,Sports,ESPN,7.0,unknown,18,2026.0
93,Inflation Briefing,excel,Business,Al Jazeera,2.0,unknown,18,2026.0
94,Untitled record,excel_summary,excel_summary,unknown,0.15,unknown,15,
95,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,json,json,Paul Tan's Automotive News,2.6,unknown,260,
96,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",json,json,The Times of India,2.6,unknown,260,
97,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,json,json,GlobeNewswire,2.6,unknown,260,
98,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",json,json,Motley Fool Australia,1.81,unknown,181,
99,SWDC partners FTID to boost S’West rural devt,json,json,The Punch,2.26,unknown,226,
100,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",json,json,The Times of India,2.6,unknown,260,
101,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,json,json,Financial Post,2.6,unknown,260,
102,"Asian stocks rally as oil retreats, Fed in spotlight",json,json,CNA,2.6,unknown,260,
103,Trump administration defends Anthropic blacklisting in US court,json,json,The Times of India,2.6,unknown,260,
104,Economic Digest: Nepal’s Business News in a Snap,json,json,Khabarhub.com,2.6,unknown,260,
105,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",json,json,BusinessLine,1.25,unknown,125,
106,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",json,json,The Times of India,2.28,unknown,228,
107,Heroes of Science and Fiction-TENOKE,json,json,Rlsbb.to,2.6,unknown,260,
108,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,json,json,Thechronicle.com.gh,2.6,unknown,260,
109,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",json,json,Thechronicle.com.gh,2.6,unknown,260,
110,Untitled record,pdf,pdf,unknown,10.0,unknown,1019,
111,Untitled record,pdf,pdf,unknown,2.83,unknown,283,
112,Untitled record,pdf_two_column,pdf_two_column,unknown,10.0,unknown,2124,
113,Untitled record,pdf_two_column,pdf_two_column,unknown,3.6,unknown,360,
114,Untitled record,word,word,unknown,10.0,unknown,1080,
115,Untitled record,word_two_column,word_two_column,unknown,10.0,unknown,1877,
116,Untitled record,word_run,word_run,unknown,0.5,unknown,50,
117,Untitled record,word_run,word_run,unknown,0.7000000000000001,unknown,70,
118,Untitled record,word_run,word_run,unknown,2.74,unknown,274,
119,Untitled record,word_run,word_run,unknown,2.58,unknown,258,
120,Untitled record,word_run,word_run,unknown,1.94,unknown,194,
121,Untitled record,word_run,word_run,unknown,0.4299999999999999,unknown,43,
122,Untitled record,word_run,word_run,unknown,0.49,unknown,49,
123,Untitled record,word_run,word_run,unknown,1.28,unknown,128,
124,Election Update,excel,Politics,BBC,4.0,unknown,15,2026.0
125,AI Market Growth,excel,Business,Reuters,7.0,unknown,16,2026.0
126,Sports Highlights,excel,Sports,CNN,5.0,unknown,17,2026.0
127,Climate Policy Shift,excel,Politics,AP,3.0,unknown,20,2026.0
128,Café Culture Trends,excel,Culture,Le Monde,6.0,unknown,19,2026.0
129,München Startup Round,excel,Technology,DW,8.0,unknown,21,2026.0
130,Žurnal Election Pulse,excel,Politics,Žurnal,5.0,unknown,21,2026.0
131,Streaming Rights Watch,excel,Business,Financial Times,4.0,unknown,22,2026.0
132,Weekend Match Buzz,excel,Sports,ESPN,7.0,unknown,18,2026.0
133,Inflation Briefing,excel,Business,Al Jazeera,2.0,unknown,18,2026.0
134,Untitled record,excel_summary,excel_summary,unknown,0.15,unknown,15,
135,Untitled record,encoding_test,encoding_test,unknown,3.0,unknown,300,
136,"Samsung introduces Hearapy, an app that helps reduce motion sickness using sound",json,json,Yugatech.com,2.6,unknown,260,
137,Royals #1 Preview: Telepathic Twins Gamble in Seoul's Underworld,json,json,Bleeding Cool News,2.6,unknown,260,
138,Here's How To Decipher The Different Grades Of Motor Oil,json,json,Jalopnik,1.53,unknown,153,
139,"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",json,json,CNET,0.73,unknown,73,
140,Economic Digest: Nepal’s Business News in a Snap,json,json,Khabarhub.com,2.6,unknown,260,
141,Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,json,json,Growag.com,1.35,unknown,135,
142,Kobo Libra 2 has better Kobo Remote connectivity,json,json,Goodereader,2.05,unknown,205,
143,Mind games: How football stars are fuelling chess boom,json,json,Yahoo Entertainment,1.83,unknown,183,
144,Blackline Safety Announces 2026 Voting Results from Shareholders Meeting,json,json,Financial Post,2.6,unknown,260,
145,Toshiba Begins Sampling of 30-34 TB SMR Nearline Hard Disk Drives,json,json,Financial Post,2.6,unknown,260,
146,Ticket #64996 (Allow non-ASCII (Unicode) usernames) created,json,json,Wordpress.org,2.6,unknown,260,
147,"Your Next Sleep Tracker Isn’t a Watch, It’s Your Bedside Lamp",json,json,Yanko Design,2.1,unknown,210,
148,"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,Digitimes,2.6,unknown,260,
149,Hume Health Hume Band Claims Evaluated: Does It Work or Just Another AI-Powered Fitness Activity Tracker,json,json,GlobeNewswire,1.47,unknown,147,
150,Untitled record,pdf,pdf,unknown,10.0,unknown,1019,
151,Untitled record,pdf,pdf,unknown,2.83,unknown,283,
152,Untitled record,pdf_two_column,pdf_two_column,unknown,10.0,unknown,2124,
153,Untitled record,pdf_two_column,pdf_two_column,unknown,3.6,unknown,360,
154,Untitled record,word,word,unknown,10.0,unknown,1080,
155,Untitled record,word_two_column,word_two_column,unknown,10.0,unknown,1877,
156,Untitled record,word_run,word_run,unknown,0.5,unknown,50,
157,Untitled record,word_run,word_run,unknown,0.7000000000000001,unknown,70,
158,Untitled record,word_run,word_run,unknown,2.74,unknown,274,
159,Untitled record,word_run,word_run,unknown,2.58,unknown,258,
160,Untitled record,word_run,word_run,unknown,1.94,unknown,194,
161,Untitled record,word_run,word_run,unknown,0.4299999999999999,unknown,43,
162,Untitled record,word_run,word_run,unknown,0.49,unknown,49,
163,Untitled record,word_run,word_run,unknown,1.28,unknown,128,
164,Election Update,excel,Politics,BBC,4.0,unknown,15,2026.0
165,AI Market Growth,excel,Business,Reuters,7.0,unknown,16,2026.0
166,Sports Highlights,excel,Sports,CNN,5.0,unknown,17,2026.0
167,Climate Policy Shift,excel,Politics,AP,3.0,unknown,20,2026.0
168,Café Culture Trends,excel,Culture,Le Monde,6.0,unknown,19,2026.0
169,München Startup Round,excel,Technology,DW,8.0,unknown,21,2026.0
170,Žurnal Election Pulse,excel,Politics,Žurnal,5.0,unknown,21,2026.0
171,Streaming Rights Watch,excel,Business,Financial Times,4.0,unknown,22,2026.0
172,Weekend Match Buzz,excel,Sports,ESPN,7.0,unknown,18,2026.0
173,Inflation Briefing,excel,Business,Al Jazeera,2.0,unknown,18,2026.0
174,Untitled record,excel_summary,excel_summary,unknown,0.15,unknown,15,
175,Untitled record,encoding_test,encoding_test,unknown,3.0,unknown,300,
176,Tech4Dev names Abraham Akpan country manager,json,json,The Punch,2.28,unknown,228,
177,Toyota is still trying to make hydrogen-fueled vehicles a reality,json,json,New Atlas,2.6,unknown,260,
