record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count,title_year_parentheses,title_any_year
389,unknown,,The Great Gatsby,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-06 00:28:38.918,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:34.144185,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,2.0,2.0,False,,,The Great Gatsby,unknown,,16,16,0.16,The Great Gatsby,scraped_json_api,16.0,,,unknown,0.16,1.0,,
393,unknown,,The Lady in Number 6: Music Saved My Life,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-06 00:28:38.921,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:34.144216,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,1.0,1.0,False,,,The Lady in Number 6: Music Saved My Life,unknown,,41,41,0.41,The Lady in Number 6: Music Saved My Life,scraped_json_api,41.0,,,unknown,0.41,1.0,,
395,unknown,,The Great Beauty,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2013,2026-04-06 00:28:38.922,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:34.144228,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2013.0,,,1.0,1.0,False,,,The Great Beauty,unknown,,16,16,0.16,The Great Beauty,scraped_json_api,16.0,,,unknown,0.16,1.0,,
398,unknown,,The Grand Budapest Hotel,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-06 00:28:38.924,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:36.492917,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,9.0,4.0,False,,,The Grand Budapest Hotel,unknown,,24,24,0.24,The Grand Budapest Hotel,scraped_json_api,24.0,,,unknown,0.24,1.0,,
400,unknown,,The Imitation Game,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-06 00:28:38.925,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:36.492932,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,8.0,1.0,False,,,The Imitation Game,unknown,,18,18,0.18,The Imitation Game,scraped_json_api,18.0,,,unknown,0.18,1.0,,
404,unknown,,The Theory of Everything,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-06 00:28:38.928,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:36.492954,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,5.0,1.0,False,,,The Theory of Everything,unknown,,24,24,0.24,The Theory of Everything,scraped_json_api,24.0,,,unknown,0.24,1.0,,
410,unknown,,The Phone Call,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2014,2026-04-06 00:28:38.932,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:36.492989,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2014.0,,,1.0,1.0,False,,,The Phone Call,unknown,,14,14,0.14,The Phone Call,scraped_json_api,14.0,,,unknown,0.14,1.0,,
415,unknown,,The Revenant   ,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2015,2026-04-06 00:28:38.935,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:38.861394,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2015.0,,,12.0,3.0,False,,,The Revenant   ,unknown,,15,15,0.15,The Revenant   ,scraped_json_api,15.0,,,unknown,0.15,1.0,,
417,unknown,,The Big Short  ,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2015,2026-04-06 00:28:38.936,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:38.861398,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2015.0,,,5.0,1.0,False,,,The Big Short  ,unknown,,15,15,0.15,The Big Short  ,scraped_json_api,15.0,,,unknown,0.15,1.0,,
418,unknown,,The Danish Girl,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2015,2026-04-06 00:28:38.936,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:38.861400,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2015.0,,,4.0,1.0,False,,,The Danish Girl,unknown,,15,15,0.15,The Danish Girl,scraped_json_api,15.0,,,unknown,0.15,1.0,,
