rank,title,category,document_type,year,language,rating_score,similarity_score,document,search_type,id
1,"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,0,unknown,2.6,0.49921345710754395,"Title: Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories | Content: Generative AI is moving from concept to commercial deployment, reshaping the global technology supply chain. It is shifting from a productivity tool to a core enterprise infrastructure. At the same time, layoffs are accelerating across Silicon Valley tech fir… | Category: json | Document type: json | Source: digitimes | Language: unknown",semantic,record_148
2,AI Market Growth,business,excel,2026,unknown,7.0,0.4852405786514282,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,semantic,record_53
3,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,0,unknown,2.6,0.4034358859062195,"Title: Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally | Content: Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also… | Category: news_api | Document type: news_api | Source: the times of india | Language: unknown",semantic,record_17
4,Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout,json,json,0,unknown,1.41,0.38890278339385986,"Title: Gen Z workers are so fearful AI will take their job they’re intentionally sabotaging their company’s AI rollout | Content: Many employees are refusing to use AI tools, with some even admitting to tampering with performance reviews to make AI appear less effective. | Category: json | Document type: json | Source: fortune | Language: unknown",semantic,record_690
5,"US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms",json,json,0,unknown,2.6,0.3847121000289917,"Title: US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms | Content: The US State Department is urging global attention to Chinese firms, including DeepSeek, accused of stealing AI intellectual property. A diplomatic cable details concerns over ""adversaries' extraction and distillation of U.S. A.I. models,"" aiming to counter l… | Category: json | Document type: json | Source: the times of india | Language: unknown",semantic,record_1209
